# 11/09/2024 09:07:00 AM: Volumes - EPEX Spot Market Auction - switzerland
Delivery day,Hour 1,Hour 2,Hour 3A,Hour 3B,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24,Total Volume
26/07/2024,4508.9,5457.5,5460.9,,4755.3,4657.6,5363,5957,5409.8,5357.2,5911,5937.1,5681.3,6094.3,5239.6,4777,4639.7,5541.9,5595.3,4925.2,4282.6,4469,4562.2,4583.3,4226.7,123393.4
25/07/2024,4769.8,4885.4,4636.8,,5385.5,5355.8,4529.4,4741.5,4196.5,4341.3,4078.7,4392.6,4575.4,4652.6,4681.4,4575.5,4613.3,5388.2,5426.4,5132.4,4609.7,4575,4705.8,5011.6,4661.1,113921.7
24/07/2024,5809.1,5833.7,5830.7,,5521.5,5401.9,5762.7,5868.4,6073.8,5670.8,5078.7,4358.8,3937,4632,4619.2,4832.3,4276.8,4299.2,4179.3,5125.2,4564.2,6019.2,5658.4,5553.6,5618.2,124524.7
23/07/2024,4569.9,4581.6,4380.2,,3893.9,3797.5,4205.2,4135.7,3755.3,4253.4,4841.8,4340.9,4384.4,4073.7,4705.7,4697.6,4553.7,4626.3,3884.1,4446.4,4210.4,4097.9,4250,4302.5,4021.5,103009.6
22/07/2024,5240.2,5224.2,4965.6,,4761.2,4631.4,5402.7,5158.4,4860.5,4754.4,4791,4540.7,3948.6,4090.7,3434.6,3454.3,3507.8,2888.7,3276.1,4790.3,4858,4645.8,4630,4887.6,4724,107466.8
21/07/2024,5097,4879.6,5177.2,,5229.9,5627.6,5433.7,5138.1,4589.4,3765.2,3359.7,3387.8,3407.7,3155.6,3229.4,3065.2,3126.3,3734.6,3293.2,3818.3,4618.9,4752.6,5040.1,5011.1,5230.3,103168.5
20/07/2024,5286.3,5509.8,5799.3,,5909.3,6020.5,6188.8,6278.6,6264,5708.5,5226,4696.6,4967.7,5137.9,4708.2,4282.7,4566,4548.3,5034.8,5495.5,5339.5,5275.3,5422.4,5361.9,4916.8,127944.7
19/07/2024,5408.1,5336.5,4900.4,,4904.7,4933.7,5075.4,5165.7,5792.7,5441.2,5403.3,5174.1,4800.3,4431,4258.4,4401.6,3857.6,4599.5,4776.3,5345.4,5002,5270.4,5190.1,5119.5,5254.2,119842.1
18/07/2024,6222,6186.6,6155.6,,6176.6,6013,6009,6214.9,6066.7,6128.4,6353.8,6113.9,5434.8,5403.7,5137.7,5083.1,5306.4,6452.4,6441.4,6282.6,4890.4,4943.8,4964.1,4907.4,4772.3,137660.6
17/07/2024,5790.8,5547.1,6753.6,,5958.6,6008.5,5653,5168.7,5536.9,5544.2,4991.2,4644.6,4135.6,3726.9,3292.6,3299.8,3498.5,3774.3,4970.1,5170,4364,4465.1,4933.8,6096,5654.6,118978.5
16/07/2024,4577.9,5131.6,3384.1,,3140.6,3394.4,3400.6,3327.3,4731.9,4671.6,4642.3,4063,4293.5,4142.3,3688.7,3515.8,3664.1,3730.1,3781.4,4879.8,4796.4,4589.1,4679,4625.3,4537.1,99387.9
15/07/2024,5178.4,5077.8,4889.2,,4794.6,5037,5032.8,4640.9,4465,4576.1,4317.7,4254.1,4587.1,4090.9,3810.7,3557.3,3661.7,3831,3750.4,4748.7,4234,4121.8,4446.3,4166.4,3605.2,104875.1
14/07/2024,5349.6,4695.6,5625.9,,5640.5,5421.7,4193.5,4437.3,4224.2,4567.8,3960.6,3238.9,3593.7,3203.8,3697.8,3546.4,3497.9,3077.2,3437.8,4100.8,5193.1,5490.8,6005.3,6178.6,6095.3,108474.1
13/07/2024,5320.3,5075.5,5272.3,,5377.8,4266.4,3686.8,4197.8,4431.8,3942.8,3808,3828.7,3637.3,3763.1,3765.3,3671.9,3576.3,3135.9,3618.4,4644.9,4862.9,5013.2,5601.4,5505.4,4944,104948.2
12/07/2024,5275.4,5295.9,5078.7,,4872.3,4638.2,5047.4,4419.6,4303.7,4725,4835.4,4685.5,4725.8,4717.9,4598.3,4548.9,4410.9,4622.5,4486.5,4768,4611.2,4341.9,4450.2,4682.2,4072.8,112214.2
11/07/2024,4963.8,4872.9,4999.4,,4764,4724.4,4516.9,4292.7,4602.1,4267.5,4779.4,4997.8,5170.2,4862.8,3529.6,3270.1,3624.5,4126.5,4551.7,4580.2,4460.8,4487.2,4605.5,4600.8,4195.4,107846.2
10/07/2024,5282.3,4935.2,4878.5,,4871.8,4935.4,4588.8,5113.9,4819.3,4754,4737.2,4610.2,4643.1,4182.6,4440.4,3914.4,4613.1,4860.4,5106.6,4910.6,4728.9,4365.7,4389,4617.2,4502.7,112801.3
09/07/2024,3914.3,3855.6,3733.8,,3783.6,3778.3,3918,4626.6,4504.2,4644.3,4664,4462.6,4037,4313.6,4228.8,4029.3,4010,4877,4234.6,5025.4,5151.8,5100.1,4971.3,4838,4238.4,104940.6
08/07/2024,5898,5685.1,5495.8,,5197.5,5033.3,5559,5318.4,4577.5,4592.6,4605,4745.8,4358,4380.6,4432.9,4885.3,5033.1,5044.8,5181.6,5224.8,5733.9,4391.5,4244.9,4226.8,4334,118180.2
07/07/2024,4367.1,4192.3,4132.4,,3949.3,4240.8,4379.6,4266.9,4025.6,4016.7,3135.3,3093.8,2985.7,2885.3,2835.8,2725,2900.9,3024.4,3524.9,4735.4,5370,5534.8,5559.4,5529.9,5202.6,96613.9
06/07/2024,5592.3,5316.9,5380.5,,5287,4905.1,4119.9,4039.8,3779.6,3805.1,3361.9,3108.2,2993,3018.2,2842.2,2737.9,2562.3,2578.3,2607.2,2845.5,3091.6,3823,3782.1,3767.3,3633.5,88978.4
05/07/2024,5229.5,4824.9,4467.6,,3707.8,4002.8,4096.4,4737.5,5660.3,5072.2,3607.8,4074.4,4049.5,4135.3,4321,3818.3,3449.8,4002.3,4312.3,4091.8,5054.6,4691.5,5052.6,5120.9,5060.2,106641.3
04/07/2024,4804.1,4747.7,4527,,4019.3,4007.7,3247,3776.8,4146.5,4289.4,3777.9,3399.9,3136.2,3072.3,3586.9,3780.8,3314.8,3216.6,3290.1,3480.4,3995.9,3919.4,3813.7,4148,3984.4,91482.8
03/07/2024,5235.6,5860.7,5432.2,,5217.7,5040.6,4393.3,4643.6,3990.5,3884.5,4008.6,4606.4,4585.3,5125.1,5209.7,5362.5,5785.9,5652.7,5555.9,3776.7,4698.9,4425.1,4399.3,4363.8,4322.1,115576.7
02/07/2024,3963.1,4249.1,4532.2,,3836.8,3356.9,3675.1,4020.4,3783.7,3664.7,3568,3652.3,3676.4,3470.3,3367,3701.5,3712.7,3439.5,3357.5,3681,3860.4,3504.5,3717.4,3763.8,3608.6,89162.9
01/07/2024,5786.8,5335.2,4651.3,,4560.8,4587.2,5153.4,5132.2,4250.3,4430.9,4374.6,4125,3457.8,3542.9,3750.7,3897.6,3427.8,3297.6,3285.9,3829.5,3465.8,3423,3585.4,3566.7,3476.3,98394.7
30/06/2024,5376.5,4381,4159.6,,3867.1,3809.7,4042,3505.4,3326.2,3249.8,3089.2,2613.5,2515.9,2426.9,2345.4,2308,2309.8,2299.2,2998.4,2766.7,3265.9,3967.1,4762,4953.4,5008.3,83347
29/06/2024,5517.4,5272.7,4108.5,,3518.5,3570.6,3718.9,3602.5,3932.8,3984.1,3640.9,3736.2,3508,3601.7,3684.2,3604.3,3119.8,3345.3,3892.7,3461.5,4699.3,4939.5,5193.3,5234.3,4802.2,97689.2
28/06/2024,4795.3,3869.2,4073.3,,3573.3,3878.3,3909.7,4091.3,3982.8,3907.9,4537.5,3817.4,3653.1,3872.2,4132.7,3649.3,3751.2,3677.7,3703.4,4102.2,4399.7,4380,4480.2,4551.3,4324.6,97113.6
27/06/2024,4270.4,4629.6,4770.4,,4626,4650.5,4961.8,4309.7,3695.8,3751.1,4359.6,4554.5,4353.4,4424.5,4037.4,4075,4951.7,4879,4038.3,4743.8,4321.3,4447.5,4486.1,4591.1,4458.9,106387.4
26/06/2024,4508.5,4598,4134.7,,3629,3665.5,4017.4,3990.8,3765.9,3442.7,4163.8,4250.9,3284.6,3526,3402.1,3568.2,3736.4,4170.4,3897.7,4509.8,4118.5,4036.5,4097.8,4266.1,4200.3,94981.6
25/06/2024,3576.2,4080,4426.7,,2996.3,3122.7,3306.1,3420,3478.8,3629.6,3729,4541.6,3932.8,3761.9,4055.1,3594.3,3596,3868,3126.2,3179.6,3315.6,3627.6,3794.1,3615.1,3759.7,87533
24/06/2024,3817.6,3805.3,3596.9,,3561.7,3699.4,3631.9,3164.9,3336.2,3729.2,3663.3,4234.4,4144,4238.1,4084.1,4235.4,4496.6,4030.1,3393.1,3624.7,3978.1,4693.2,4586.1,4598.9,4402.2,94745.4
23/06/2024,4336.6,3774.6,4063.1,,3897.5,3989.6,3792.2,4165.7,3618.8,3345.7,3962.2,3982.8,3547.3,3369.4,3607.8,3929.7,3457.4,3666.3,2972,3363.8,3616.1,4077.9,4241.1,4342.3,4206.9,91326.8
22/06/2024,4650.3,3746.6,3563.3,,3567.6,3614.6,3595.1,3542,3554.4,3410.4,3536.2,3790.7,3168.1,2830.4,2885.3,3138.4,3302.9,3953.7,3137.1,3016.8,3362.8,4332.9,4275.5,4308.5,4302.1,86585.7
21/06/2024,5258.3,5590.1,5361.8,,4882.8,4844.3,4964.4,4851.3,4749.9,4611.1,4919.3,4552.6,4958.8,4516.1,4226.5,3851,4158.3,4839.3,3835,3741.6,4917.1,4978.3,4981.2,5068.9,4988.2,113646.2
20/06/2024,4145.2,3952.4,3780.7,,3389.1,3446.3,3525,3780.3,4231.4,4205.1,4275.3,4349.4,4144.7,3706.8,3612.9,3591.4,3786.5,3990.7,3461.6,3627.5,4520.7,4571.9,4527.7,4522.6,4374.8,95520
19/06/2024,2755.7,3060.2,2938.4,,2799.7,2821,2715.6,2653.1,3217.1,3525.3,3359,3969,3961.7,4109.4,3992.1,3820.5,4023.2,4144.1,3253.1,2774.1,3296.5,3041.8,3253.8,3352.8,3560,80397.2
18/06/2024,4179.3,3973,3641.2,,3473.4,3365.4,2896.4,3234.9,3393.3,3731.7,3376.8,3949.3,4170.4,4526.9,4638.8,4461.2,4217.9,3987.3,3857.9,3130.5,3642.8,4077.4,4110.9,4250.9,4170.5,92458.1
17/06/2024,3681.4,3566.3,4062.4,,3959.7,3744,3424.4,3413.7,3531.2,3593.6,3573.5,4025.8,4360.1,4263.1,4602.7,4335.3,4329.2,4294.8,3379.7,3203.1,3464.1,4097.4,4137.5,4306.4,3828.7,93178.1
16/06/2024,2644.4,2829.8,2619,,2644.3,3052.4,3340.1,2976.1,3154.6,3047.7,2697.3,2358.4,2589.6,2775.1,2808.9,2868.7,2737,2656.4,2783.5,3097.2,3393.2,3588.6,3899.1,3750.2,4012.7,72324.3
15/06/2024,4288.8,3681.1,3473.6,,2910,2863.5,2990,3180.8,2932.6,2610.3,2601.8,2174,2152.9,2446.7,2702.7,2748.6,2837.2,2759.4,2506.1,2869.9,3200.4,3683.9,3851,3777.2,3640.8,72883.3
14/06/2024,3815.4,3709.1,3695.6,,3776.9,3595.3,2932.9,2804.4,2997.1,3360.4,3481.2,4380.6,4321.6,3609.2,3369,3251,3372.6,3457.9,3890.9,3021.9,3321.3,3080.5,2777.4,3321.8,3269.1,82613.1
13/06/2024,3815.9,3585.4,3622.4,,3989.9,3906.3,2911.3,3265.5,2990.6,3314.9,3352.3,4233,4211,4020.2,3549,3532.8,3945.5,4204.5,4506.7,3385.2,3275,3481.9,3550.4,3655,3749.1,88053.8
12/06/2024,3959.3,3888.6,3697.9,,3643.3,3716.1,3244.6,3369.4,3097.8,3120.6,2973.7,3296.3,3337.4,3504.3,3448.9,3393,3242.3,3442,3237.6,3087.8,3410.1,3385.2,3657.2,4033.9,3740.8,82928.1
